Player,Season,Pos,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,USG%,WS,BPM,VORP
Delon Wright,2021-22,SG,ATL,77.0,8.0,18.9,1.6,3.5,0.454,0.6,1.5,0.379,0.7,0.8,0.857,0.6,2.2,2.9,2.4,1.2,0.2,0.6,0.7,4.4,13.8,0.576,10.3,3.6,2.2,1.6
Moses Brown,2021-22,C,2TM,40.0,6.0,8.6,1.6,2.7,0.593,0.0,0.0,,1.1,1.8,0.597,1.0,2.4,3.4,0.0,0.2,0.4,0.5,1.3,4.3,18.5,0.612,20.7,1.2,-3.3,-0.1
DeAndre Jordan,2021-22,C,2TM,48.0,20.0,13.0,1.9,3.0,0.643,0.0,0.0,,0.5,0.8,0.55,1.7,3.8,5.5,0.4,0.3,0.7,0.8,1.5,4.3,17.2,0.641,13.9,1.9,-1.4,0.1
Troy Brown Jr.,2021-22,SF,CHI,66.0,7.0,16.0,1.6,3.9,0.419,0.7,2.0,0.353,0.3,0.4,0.769,0.6,2.5,3.1,1.0,0.5,0.1,0.4,0.9,4.3,10.1,0.525,12.3,1.4,-1.8,0.1
Mamadi Diakite,2021-22,PF,OKC,13.0,3.0,14.5,1.9,3.6,0.532,0.0,0.4,0.0,0.5,0.8,0.545,1.3,3.2,4.5,0.2,0.4,0.7,0.5,2.5,4.3,11.6,0.54,13.5,0.3,-5.0,-0.1
Malachi Flynn,2021-22,PG,TOR,44.0,5.0,12.2,1.6,4.2,0.393,0.7,2.0,0.333,0.3,0.5,0.625,0.2,1.2,1.4,1.6,0.5,0.1,0.3,1.0,4.3,11.7,0.488,16.5,1.0,-1.5,0.1
Boban MarjanoviÄ,2021-22,C,DAL,23.0,0.0,5.6,1.8,3.0,0.6,0.0,0.2,0.25,0.6,1.0,0.591,0.3,1.3,1.7,0.1,0.0,0.1,0.7,1.0,4.3,18.5,0.615,33.3,0.1,-4.4,-0.1
Trevelin Queen,2021-22,SG,HOU,10.0,0.0,7.4,1.5,3.3,0.455,0.9,2.4,0.375,0.4,0.4,1.0,0.7,0.9,1.6,0.4,0.5,0.1,0.7,0.6,4.3,18.2,0.619,23.9,0.1,1.9,0.1
Yuta Watanabe,2021-22,SF,TOR,38.0,4.0,11.7,1.5,3.6,0.406,0.7,2.1,0.342,0.6,1.1,0.6,0.5,1.9,2.4,0.6,0.3,0.4,0.5,1.0,4.3,11.5,0.524,16.8,0.7,-2.0,0.0
Rayjon Tucker,2021-22,SG,2TM,5.0,0.0,14.2,1.2,1.8,0.667,0.8,1.0,0.8,1.0,1.4,0.714,0.6,1.0,1.6,2.0,0.8,0.0,0.2,1.0,4.2,17.7,0.869,7.9,0.4,3.5,0.1
Jevon Carter,2021-22,PG,2TM,66.0,3.0,13.7,1.5,3.8,0.387,1.0,2.6,0.388,0.2,0.3,0.833,0.2,1.5,1.7,1.5,0.4,0.2,0.5,1.0,4.2,9.6,0.531,14.0,1.2,-2.2,-0.1
Sam Merrill,2021-22,SG,MEM,6.0,0.0,9.7,1.3,4.0,0.333,1.2,3.8,0.304,0.3,0.7,0.5,0.2,1.0,1.2,0.7,0.0,0.0,0.3,0.5,4.2,7.5,0.485,19.6,0.0,-5.6,-0.1
Lindell Wigginton,2021-22,PG,MIL,19.0,0.0,10.5,1.4,3.2,0.426,0.5,1.4,0.346,1.0,1.8,0.543,0.2,1.2,1.3,1.2,0.3,0.1,0.6,0.9,4.2,10.2,0.524,19.0,0.2,-5.0,-0.2
James Ennis III,2021-22,SF,3TM,7.0,0.0,8.0,1.6,3.4,0.458,0.4,1.1,0.375,0.6,0.7,0.8,0.7,1.0,1.7,0.4,0.3,0.3,0.3,0.7,4.1,17.7,0.553,22.0,0.1,-1.1,0.0
Mychal Mulder,2021-22,PG,2TM,17.0,3.0,14.1,1.4,4.5,0.312,1.0,3.2,0.315,0.2,0.2,1.0,0.1,1.3,1.4,0.3,0.2,0.1,0.5,0.8,4.1,3.7,0.438,15.8,-0.2,-7.7,-0.3
Santi Aldama,2021-22,PF,MEM,32.0,0.0,11.3,1.7,4.1,0.402,0.2,1.5,0.125,0.6,1.0,0.625,1.0,1.7,2.7,0.7,0.2,0.3,0.5,1.1,4.1,10.2,0.452,18.4,0.3,-5.7,-0.3
Vlatko ÄanÄar,2021-22,PF,DEN,15.0,1.0,11.7,1.5,2.7,0.561,0.5,0.8,0.583,0.6,0.9,0.643,0.5,1.5,2.1,1.1,0.1,0.2,0.6,1.2,4.1,12.7,0.657,14.0,0.4,-1.7,0.0
Anthony Gill,2021-22,PF,WAS,44.0,0.0,10.5,1.4,2.5,0.569,0.3,0.6,0.538,1.0,1.2,0.808,0.8,1.2,1.9,0.6,0.1,0.3,0.4,1.3,4.1,14.7,0.682,14.4,1.4,-1.9,0.0
Markus Howard,2021-22,SG,DEN,31.0,0.0,5.7,1.3,3.3,0.386,0.9,2.3,0.4,0.6,0.7,0.87,0.1,0.3,0.4,0.2,0.3,0.0,0.2,0.5,4.1,16.1,0.567,29.4,0.3,-1.2,0.0
Frank Ntilikina,2021-22,SG,DAL,58.0,5.0,11.8,1.5,3.8,0.399,0.7,1.9,0.342,0.4,0.4,0.96,0.2,1.2,1.4,1.2,0.5,0.1,0.5,1.1,4.1,10.4,0.513,17.4,0.9,-1.9,0.0
Juan Toscano-Anderson,2021-22,SF,GSW,73.0,6.0,13.6,1.6,3.2,0.489,0.4,1.2,0.322,0.5,1.0,0.571,0.4,2.0,2.4,1.7,0.7,0.2,0.9,1.6,4.1,11.0,0.561,14.7,2.0,-0.8,0.3
Mac McClung,2021-22,SG,2TM,2.0,0.0,12.5,1.5,3.0,0.5,0.5,1.5,0.333,0.5,0.5,1.0,0.0,1.5,1.5,0.5,0.5,0.5,1.5,2.5,4.0,5.2,0.621,16.3,0.0,-9.6,0.0
Trevor Ariza,2021-22,SF,LAL,24.0,11.0,19.3,1.4,4.1,0.333,0.8,3.1,0.27,0.4,0.8,0.556,0.4,3.0,3.4,1.1,0.5,0.3,0.5,0.8,4.0,7.0,0.449,11.0,0.2,-3.4,-0.2
Scotty Hopson,2021-22,SG,OKC,1.0,0.0,18.0,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,4.0,0.1,0.5,14.4,0.0,-11.6,0.0
Andre Iguodala,2021-22,SF,GSW,31.0,0.0,19.5,1.5,3.9,0.38,0.5,2.4,0.23,0.5,0.6,0.75,0.7,2.5,3.2,3.7,0.9,0.7,0.9,1.1,4.0,12.3,0.478,11.4,1.6,2.7,0.7
Micah Potter,2021-22,C,DET,3.0,0.0,10.3,1.7,3.7,0.455,0.0,0.7,0.0,0.7,0.7,1.0,1.3,1.7,3.0,0.0,0.3,0.3,0.3,1.3,4.0,13.6,0.505,17.8,0.0,-7.1,0.0
Matt Thomas,2021-22,SG,CHI,40.0,0.0,11.5,1.4,3.4,0.41,0.9,2.3,0.385,0.4,0.5,0.8,0.1,1.2,1.3,0.5,0.2,0.1,0.2,0.5,4.0,9.9,0.564,14.5,0.6,-2.6,-0.1
Gabe York,2021-22,SG,IND,2.0,0.0,10.5,1.0,3.5,0.286,0.5,3.0,0.167,1.5,2.5,0.6,0.0,1.0,1.0,2.0,1.0,0.5,0.5,2.0,4.0,12.7,0.435,20.8,0.0,-1.5,0.0
Didi Louzada,2021-22,SF,2TM,9.0,1.0,14.3,1.3,3.7,0.364,1.0,2.6,0.391,0.2,0.2,1.0,0.6,1.3,1.9,0.6,0.2,0.2,0.6,1.4,3.9,6.4,0.517,13.0,0.0,-7.5,-0.2
Kyle Guy,2021-22,SG,MIA,19.0,0.0,9.8,1.4,3.4,0.4,0.7,2.1,0.35,0.4,0.6,0.667,0.2,0.7,0.9,0.9,0.4,0.1,0.7,0.6,3.9,9.5,0.526,19.9,0.1,-3.4,-0.1
Malcolm Hill,2021-22,SG,2TM,19.0,0.0,11.2,1.3,2.7,0.462,0.7,1.9,0.361,0.6,0.7,0.786,0.6,1.3,1.8,0.4,0.4,0.2,0.2,1.3,3.8,12.7,0.619,12.7,0.6,-1.6,0.0
Jared Butler,2021-22,SG,UTA,42.0,1.0,8.6,1.5,3.6,0.404,0.7,2.1,0.318,0.3,0.4,0.688,0.1,1.0,1.1,1.5,0.4,0.2,0.8,1.1,3.8,12.1,0.509,23.1,0.4,-1.6,0.0
Sandro Mamukelashvili,2021-22,PF,MIL,41.0,3.0,9.9,1.4,2.8,0.496,0.5,1.3,0.423,0.4,0.5,0.818,0.9,1.1,2.0,0.5,0.2,0.2,0.4,0.7,3.8,14.7,0.618,14.6,1.1,-0.3,0.2
Jordan McLaughlin,2021-22,PG,MIN,62.0,3.0,14.5,1.4,3.2,0.44,0.4,1.4,0.318,0.5,0.6,0.75,0.4,1.2,1.5,2.9,0.9,0.2,0.6,0.9,3.8,13.4,0.535,11.8,2.3,0.4,0.6
Aaron Nesmith,2021-22,SF,BOS,52.0,3.0,11.0,1.4,3.5,0.396,0.6,2.2,0.27,0.4,0.5,0.808,0.3,1.4,1.7,0.4,0.4,0.1,0.6,1.3,3.8,7.3,0.507,17.2,0.4,-4.3,-0.3
Jamorko Pickett,2021-22,PF,DET,13.0,0.0,13.5,1.4,3.8,0.36,1.0,3.0,0.333,0.1,0.2,0.5,0.5,2.0,2.5,0.5,0.0,0.5,0.4,0.9,3.8,7.6,0.491,13.6,0.1,-5.0,-0.1
Admiral Schofield,2021-22,SF,ORL,38.0,1.0,12.3,1.4,3.4,0.419,0.7,2.1,0.329,0.3,0.4,0.8,0.4,1.9,2.3,0.7,0.1,0.1,0.6,1.5,3.8,7.5,0.538,14.5,0.3,-5.4,-0.4
Cheick Diallo,2021-22,C,DET,3.0,0.0,10.3,1.0,2.7,0.375,0.0,0.0,,1.7,2.0,0.833,1.3,2.7,4.0,0.0,0.3,0.0,0.3,2.0,3.7,12.3,0.517,16.1,0.1,-7.5,0.0
Enes Freedom,2021-22,C,BOS,35.0,1.0,11.7,1.5,2.8,0.526,0.1,0.1,0.4,0.7,0.8,0.857,1.7,2.8,4.6,0.2,0.1,0.4,0.6,1.2,3.7,15.0,0.585,13.9,1.4,-1.4,0.1
Nathan Knight,2021-22,PF,MIN,37.0,2.0,7.2,1.2,2.4,0.511,0.1,0.4,0.308,1.2,1.6,0.733,0.9,1.4,2.3,0.6,0.2,0.2,0.5,1.1,3.7,18.7,0.603,20.7,1.0,-0.6,0.1
KZ Okpala,2021-22,PF,MIA,21.0,0.0,11.6,1.4,3.3,0.435,0.4,1.2,0.346,0.4,0.5,0.727,0.5,1.4,2.0,0.7,0.2,0.3,0.2,1.2,3.7,10.4,0.521,14.4,0.5,-2.8,-0.1
Brad Wanamaker,2021-22,PG,2TM,23.0,2.0,13.9,1.2,3.3,0.364,0.2,0.7,0.235,1.0,1.1,0.92,0.3,1.4,1.7,2.4,0.3,0.3,1.0,2.0,3.6,7.5,0.472,14.9,0.0,-5.8,-0.3
TomÃ¡Å¡ SatoranskÃ½,2021-22,SG,3TM,55.0,13.0,16.5,1.3,3.5,0.377,0.2,1.0,0.208,0.8,1.0,0.796,0.5,1.8,2.3,3.3,0.5,0.1,0.8,1.3,3.6,10.2,0.461,12.6,1.0,-3.7,-0.4
Thanasis Antetokounmpo,2021-22,SF,MIL,48.0,6.0,9.9,1.5,2.7,0.547,0.0,0.3,0.143,0.6,1.0,0.63,0.8,1.3,2.1,0.5,0.3,0.3,0.5,1.4,3.6,12.5,0.577,15.7,0.9,-3.5,-0.2
Isaiah Joe,2021-22,SG,PHI,55.0,1.0,11.1,1.1,3.2,0.35,0.8,2.5,0.333,0.5,0.6,0.935,0.1,0.9,1.0,0.6,0.3,0.1,0.3,0.9,3.6,7.7,0.519,15.5,0.4,-4.6,-0.4
Tony Snell,2021-22,SG,2TM,53.0,12.0,15.5,1.3,3.2,0.404,0.8,2.4,0.352,0.1,0.1,1.0,0.3,1.6,1.9,0.5,0.3,0.2,0.4,1.3,3.5,6.3,0.541,10.1,0.4,-4.2,-0.5
Elijah Hughes,2021-22,SG,2TM,36.0,4.0,12.1,1.3,4.0,0.326,0.7,2.6,0.263,0.2,0.3,0.778,0.2,1.4,1.6,0.6,0.4,0.2,0.5,1.1,3.5,5.4,0.426,16.5,-0.4,-6.9,-0.5
Paul Millsap,2021-22,C,2TM,33.0,1.0,11.4,1.4,3.5,0.391,0.2,1.1,0.229,0.5,0.7,0.708,1.2,2.2,3.5,0.9,0.3,0.4,0.6,2.0,3.5,10.8,0.458,16.7,0.5,-3.5,-0.1
Jarrett Culver,2021-22,SG,MEM,37.0,0.0,9.1,1.4,3.6,0.378,0.3,1.3,0.255,0.4,0.9,0.471,0.4,0.9,1.3,0.9,0.5,0.1,0.5,1.1,3.5,8.7,0.433,20.6,0.1,-5.4,-0.3
Gorgui Dieng,2021-22,C,ATL,44.0,3.0,8.4,1.2,2.5,0.473,0.7,1.5,0.426,0.4,0.6,0.731,0.7,2.0,2.8,0.8,0.3,0.3,0.5,1.2,3.5,17.3,0.624,16.9,1.2,2.1,0.4
Alfonzo McKinnie,2021-22,SF,CHI,17.0,3.0,12.1,1.4,3.6,0.393,0.5,1.6,0.333,0.1,0.5,0.25,0.8,1.2,1.9,0.3,0.1,0.2,0.4,1.5,3.5,5.6,0.457,15.3,-0.1,-9.0,-0.4
Kent Bazemore,2021-22,SF,LAL,39.0,14.0,14.0,1.2,3.6,0.324,0.7,2.1,0.363,0.3,0.4,0.765,0.3,1.4,1.8,0.9,0.6,0.2,0.5,1.8,3.4,6.0,0.451,13.2,0.1,-4.3,-0.3
Tyler Cook,2021-22,PF,CHI,20.0,2.0,10.0,1.2,1.9,0.605,0.0,0.0,,1.1,1.6,0.656,0.8,1.9,2.7,0.2,0.2,0.2,0.4,1.4,3.4,13.0,0.643,13.0,0.5,-4.1,-0.1
